,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er,sie,es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,Bild,Bild 1,Bild 2,Bild 3,Bild 4,Infinitif
662,ertrinken,ertrinke,,ertrinkst,,ertrinkt,ertrank,,ertrunken,,ertränke,,ertrinke,ertrink,,ertrinkt,,sein,,,,,,,noyer
663,zurücklassen,lasse zurück,,lässt zurück,,lässt zurück,ließ zurück,,zurückgelassen,,ließe zurück,,lass zurück,lasse zurück,,lasst zurück,,haben,,,,,,,abandonner
664,auslösen,löse aus,,löst aus,,löst aus,löste aus,,ausgelöst,,löste aus,,löse aus,,,löst aus,,haben,,,,,,,déclenchement
665,vergiften,vergifte,,vergiftest,,vergiftet,vergiftete,,vergiftet,,vergiftete,,vergift,vergifte,,vergiftet,,haben,,,,,,,poison
666,beteiligen,beteilige,,beteiligst,,beteiligt,beteiligte,,beteiligt,,beteiligte,,beteilige,,,beteiligt,,haben,,,,,,,participer
667,strecken,strecke,,streckst,,streckt,streckte,,gestreckt,,streckte,,streck,,,streckt,,haben,,,,,,,extensible
668,aussprechen,spreche aus,,sprichst aus,,spricht aus,sprach aus,,ausgesprochen,,spräche aus,,sprich aus,,,sprecht aus,,haben,,,,,,,exprimer
669,regnen,—,,—,,regnet,regnete,,geregnet,,regnete,,—,,,—,,haben,,,,,,,pluie
670,vorgehen,gehe vor,,gehst vor,,geht vor,ging vor,,vorgegangen,,ginge vor,,geh vor,,,geht vor,,sein,,,,,,,procéder
671,ausruhen,ruhe aus,,ruhst aus,,ruht aus,ruhte aus,,ausgeruht,,ruhte aus,,ruh aus,ruhe aus,,ruht aus,,haben,,,,,,,se détendre
672,verhandeln,verhandele,verhandle,verhandelst,,verhandelt,verhandelte,,verhandelt,,verhandelte,,verhandele,verhandel,,verhandelt,,haben,,,,,,,négocier
673,abmachen,mache ab,mach ab,machst ab,,macht ab,machte ab,,abgemacht,,machte ab,,mache ab,mach ab,,macht ab,,haben,,,,,,,régler
674,russen,russe,,russt,,russt,russte,,gerusst,,russte,,russ,russe,,russt,,haben,,,,,,,les Russes
675,weigern,weigere,,weigerst,,weigert,weigerte,,geweigert,,weigerte,,weiger,,,weigert,,haben,,,,,,,refuser
676,schleichen,schleiche,,schleichst,,schleicht,schlich,,geschlichen,,schliche,,schleiche,schleich,,schleicht,,sein,,,,,,,se faufiler
677,bedienen,bediene,,bedienst,,bedient,bediente,,bedient,,bediente,,bedien,bediene,,bedient,,haben,,,,,,,servir
678,spannen,spanne,,spannst,,spannt,spannte,,gespannt,,spannte,,spanne,,,spannt,,haben,,,,,,,serrer
679,bergen,berge,,birgst,,birgt,barg,,geborgen,,bärge,,birg,,,bergt,,haben,,,,,,,récupérer
680,vermögen,vermag,,vermagst,,vermag,vermochte,,vermocht,,vermöchte,,vermöge,,,vermöget,,haben,,,,,,,actifs
681,beherrschen,beherrsche,,beherrschst,beherrscht,beherrscht,beherrschte,,beherrscht,,beherrschte,,beherrsche,beherrsch,,beherrscht,,haben,,,,,,,commande
682,überfallen,überfalle,,überfällst,,überfällt,überfiel,,überfallen,,überfiele,,überfall,überfalle,,überfallt,,haben,,,,,,,embusqué
683,osten,oste,,ostest,,ostet,ostete,,geostet,,ostete,,ost,oste,,ostet,,haben,,,,,,,est
684,rächen,räche,,rächst,,rächt,rächte,,gerächt,,rächte,,räche,räch,,rächt,,haben,,,,,,,vengeance
685,verschaffen,verschaffe,,verschaffst,,verschafft,verschaffte,,verschafft,,verschaffte,,verschaff,verschaffe,,verschafft,,haben,,,,,,,fournir
686,vermeiden,vermeide,,vermeidest,,vermeidet,vermied,,vermieden,,vermiede,,vermeide,,,vermeidet,,haben,,,,,,,éviter
687,verärgern,verärgere,,verärgerst,,verärgert,verärgerte,,verärgert,,verärgerte,,verärger,verärgere,,verärgert,,haben,,,,,,,bouleversé
688,ablenken,lenke ab,,lenkst ab,,lenkt ab,lenkte ab,,abgelenkt,,lenkte ab,,lenk ab,,,lenkt ab,,haben,,,,,,,distraire
689,langweilen,langweile,,langweilst,,langweilt,langweilte,,gelangweilt,,langweilte,,langweil,langweile,,langweilt,,haben,,,,,,,ennuyer
690,vereinigen,vereinige,,vereinigst,,vereinigt,vereinigte,,vereinigt,,vereinigte,,vereinige,,,vereinigt,,haben,,,,,,,unir
691,verlegen,verlege,,verlegst,,verlegt,verlegte,,verlegt,,verlegte,,verlege,,,verlegt,,haben,,,,,,,gêné
692,füttern,füttere,,fütterst,,füttert,fütterte,,gefüttert,,fütterte,,füttere,,,füttert,,haben,,,,,,,alimentation
693,zeichnen,zeichne,,zeichnest,,zeichnet,zeichnete,,gezeichnet,,zeichnete,,zeichne,,,zeichnet,,haben,,,,,,,dessiner
694,umlegen,lege um,,legst um,,legt um,legte um,,umgelegt,,legte um,,leg um,lege um,,legt um,,haben,,,,,,,replier
695,verdenken,verdenke,,verdenkst,,verdenkt,verdachte,,verdacht,,verdächte,,verdenk,verdenke,,verdenkt,,haben,,,,,,,blâmer
696,faszinieren,fasziniere,,faszinierst,,fasziniert,faszinierte,,fasziniert,,faszinierte,,fasziniere,faszinier,,fasziniert,,haben,,,,,,,fasciner
697,zerbrechen,zerbreche,,zerbrichst,,zerbricht,zerbrach,,zerbrochen,,zerbräche,,zerbrich,,,zerbrecht,,haben,,,,,,,casser
698,rollen,rolle,,rollst,,rollt,rollte,,gerollt,,rollte,,roll,rolle,,rollt,,haben,sein,,,,,,rouler
699,spenden,spende,,spendest,,spendet,spendete,,gespendet,,spendete,,spende,,,spendet,,haben,,,,,,,faire un don
700,ärgern,ärgere,,ärgerst,,ärgert,ärgerte,,geärgert,,ärgerte,,ärgere,,,ärgert,,haben,,,,,,,ennuyer
701,zurückgeben,gebe zurück,,gibst zurück,,gibt zurück,gab zurück,,zurückgegeben,,gäbe zurück,,gib zurück,,,gebt zurück,,haben,,,,,,,rendre
702,pinkeln,pinkle,pinkele,pinkelst,,pinkelt,pinkelte,,gepinkelt,,pinkelte,,pinkele,pinkel,,pinkelt,,haben,,,Bruxelles Manneken Pis cropped.jpg|thumb|1|Manneken Pis in Brüssel,Pinkeln verboten (Berlin).jpg|thumb|1|''Pinkeln''-verboten-Schild,,,faire pipi
703,nützen,nütze,,nützt,,nützt,nützte,,genützt,,nützte,,nütze,,,nützt,,haben,,,,,,,avantage
704,aufheben,hebe auf,,hebst auf,,hebt auf,hob auf,,aufgehoben,,höbe auf,,heb auf,,,hebt auf,,haben,,,,,,,ascenseur
705,klagen,klage,,klagst,,klagt,klagte,,geklagt,,klagte,,klag,klage,,klagt,,haben,,,,,,,se plaindre
706,bezweifeln,bezweifle,bezweifele,bezweifelst,,bezweifelt,bezweifelte,,bezweifelt,,bezweifelte,,bezweifle,,,bezweifelt,,haben,,,,,,,doute
707,diskutieren,diskutiere,,diskutierst,,diskutiert,diskutierte,,diskutiert,,diskutierte,,diskutier,diskutiere,,diskutiert,,haben,,,,,,,discuter
708,grüßen,grüße,,grüßt,,grüßt,grüßte,,gegrüßt,,grüßte,,grüße,grüß,,grüßt,,haben,,,,,,,saluer
709,arrangieren,arrangiere,,arrangierst,,arrangiert,arrangierte,,arrangiert,,arrangierte,,arrangiere,arrangier,,arrangiert,,haben,,,,,,,organiser
710,blicken,blicke,,blickst,,blickt,blickte,,geblickt,,blickte,,blicke,blick,,blickt,,haben,,,,,,,regarder
711,aussetzen,setze aus,,setzt aus,,setzt aus,setzte aus,,ausgesetzt,,setzte aus,,setz aus,setze aus,,setzt aus,,haben,,,,,,,suspendre
712,vermasseln,vermassele,vermassle,vermasselst,,vermasselt,vermasselte,,vermasselt,,vermasselte,,vermassele,vermassel,,vermasselt,,haben,,,,,,,bousiller
713,verlaufen,verlaufe,,verläufst,,verläuft,verlief,,verlaufen,,verliefe,,verlaufe,verlauf,,verlauft,,sein,haben,,,,,,Aller se faire cuire un œuf
714,bewachen,bewache,,bewachst,,bewacht,bewachte,,bewacht,,bewachte,,bewach,,,bewacht,,haben,,,,,,,garde
715,kotzen,kotze,,kotzt,,kotzt,kotzte,,gekotzt,,kotzte,,kotze,,,kotzt,,haben,,Drunk_woman_vomits.jpg|mini|1|eine Frau ''kotzt'',,,,,dégueuler
716,verprügeln,verprügel,verprügele,verprügelst,,verprügelt,verprügelte,,verprügelt,,verprügelte,,verprügel,verprügele,,verprügelt,,haben,,,,,,,tabasser
717,vertreten,vertrete,,vertrittst,,vertritt,vertrat,,vertreten,,verträte,,vertritt,,,vertretet,,haben,,,,,,,représenter
718,sinken,sinke,,sinkst,,sinkt,sank,,gesunken,,sänke,,sinke,sink,,sinkt,,sein,,,Stöwer Titanic (colourized).jpg|thumb|1|die [[Titanic]] ''sinkt'',"Annuität Restschuldverlauf.PNG|thumb|4|[[Kosten]], [[Nutzen]], [[Preis]]e, [[Umsatz|Umsätze]], [[etc.]] ''sinken''",,,couler
719,bedanken,bedanke,,bedankst,,bedankt,bedankte,,bedankt,,bedankte,,bedank,,,bedankt,,haben,,,,,,,merci
720,operieren,operiere,,operierst,,operiert,operierte,,operiert,,operierte,,operiere,operier,,operiert,,haben,,,,,,,fonctionner
721,erweisen,erweise,,erweist,,erweist,erwies,,erwiesen,,erwiese,,erweise,,,erweist,,haben,,,,,,,prouver
722,posten,poste,,postest,,postet,postete,,gepostet,,postete,,poste,,,postet,,haben,,,,,,,Poste
723,stattfinden,finde statt,,findest statt,,findet statt,fand statt,,stattgefunden,,fände statt,,finde statt,,,findet statt,,haben,,,,,,,prend place
724,absagen,sage ab,,sagst ab,,sagt ab,sagte ab,,abgesagt,,sagte ab,,sage ab,,,sagt ab,,haben,,,,,,,Annuler
725,einziehen,ziehe ein,,ziehst ein,,zieht ein,zog ein,,eingezogen,,zöge ein,,zieh ein,,,zieht ein,,haben,,,,,,,emménager
726,belästigen,belästige,,belästigst,,belästigt,belästigte,,belästigt,,belästigte,,belästige,,,belästigt,,haben,,,,,,,harceler
727,kugeln,kugele,,kugelst,,kugelt,kugelte,,gekugelt,,kugelte,,kugel,kugle,,kugelt,,haben,sein,,,,,,des balles
728,kontaktieren,kontaktiere,,kontaktierst,,kontaktiert,kontaktierte,,kontaktiert,,kontaktierte,,kontaktiere,kontaktier,,kontaktiert,,haben,,,,,,,contacter
729,einsteigen,steige ein,,steigst ein,,steigt ein,stieg ein,,eingestiegen,,stiege ein,,steig ein,steige ein,,steigt ein,,sein,,,,,,,Montez
730,unterrichten,unterrichte,,unterrichtest,,unterrichtet,unterrichtete,,unterrichtet,,unterrichtete,,unterrichte,,,unterrichtet,,haben,,,,,,,enseigner
731,eintreten,trete ein,,trittst ein,,tritt ein,trat ein,,eingetreten,,träte ein,,tritt ein,,,tretet ein,,haben,sein,,,,,,entrer
732,losgehen,gehe los,,gehst los,,geht los,ging los,,losgegangen,,ginge los,,geh los,gehe los,,geht los,,sein,,,,,,,Partir
733,putzen,putze,,putzt,,putzt,putzte,,geputzt,,putzte,,putz,putze,,putzt,,haben,,,Libelle4 - 2016-01-26.webm|mini|1|Eine [[Libelle]] ''putzt'' sich den [[Kopf]].,Woman brushing teeth.jpg|mini|1|Eine [[Frau]] ''putzt'' sich die [[Zahn|Zähne]].,,,nettoyage
734,zielen,ziele,,zielst,,zielt,zielte,,gezielt,,zielte,,ziele,,,zielt,,haben,,,2007-12-17-101337.jpg|thumb|1|auf etwas/jemanden ''zielen'',101204-F-NH898-008 (5589542042).jpg|thumb|1|über [[Kimme und Korn]] ''zielen'',,,but
735,hacken,hacke,,hackst,,hackt,hackte,,gehackt,,hackte,,hack,hacke,,hackt,,haben,,,,,,,hacher
736,husten,huste,,hustest,,hustet,hustete,,gehustet,,hustete,,huste,,,hustet,,haben,,,,,,,toux
737,einkaufen,kaufe ein,,kaufst ein,,kauft ein,kaufte ein,,eingekauft,,kaufte ein,,kauf ein,kaufe ein,,kauft ein,,haben,,,,,,,achats
738,einnehmen,nehme ein,,nimmst ein,,nimmt ein,nahm ein,,eingenommen,,nähme ein,,nimm ein,,,nehmt ein,,haben,,,,,,,prendre
739,bescheißen,bescheiße,,bescheißt,,bescheißt,beschiss,,beschissen,,beschisse,,bescheiße,,,bescheißt,,haben,,,,,,,merde
740,knallen,knalle,,knallst,,knallt,knallte,,geknallt,,knallte,,knall,,,knallt,,haben,,,,,,,éclater
741,verschließen,verschließe,,verschließt,,verschließt,verschloss,,verschlossen,,verschlösse,,verschließ,,,verschließt,,haben,,,,,,,fermer
742,vereinen,vereine,,vereinst,,vereint,vereinte,,vereint,,vereinte,,vereine,verein,,vereint,,haben,,,,,,,unir
743,versorgen,versorge,,versorgst,,versorgt,versorgte,,versorgt,,versorgte,,versorg,,,versorgt,,haben,,,,,,,prendre soin de
744,sprengen,sprenge,,sprengst,,sprengt,sprengte,,gesprengt,,sprengte,,sprenge,spreng,,sprengt,,haben,,Demolition of the HNA Development Building.ogv|thumb|1|ein [[Gebäude]] ''sprengen'' zum [[Zweck]] des [[Abriss]]es,,,,,bousiller
745,durchgehen,gehe durch,,gehst durch,,geht durch,ging durch,,durchgegangen,,ginge durch,,geh durch,,,geht durch,,sein,,,,,,,traverser
746,verabreden,verabrede,,verabredest,,verabredet,verabredete,,verabredet,,verabredete,,verabrede,,,verabredet,,haben,,,,,,,prendre rendez-vous
747,verbreiten,verbreite,,verbreitest,,verbreitet,verbreitete,,verbreitet,,verbreitete,,verbreite,,,verbreitet,,haben,,,,,,,propagé
748,abziehen,ziehe ab,,ziehst ab,,zieht ab,zog ab,,abgezogen,,zöge ab,,ziehe ab,,,zieht ab,,haben,,,,,,,retirez-le
749,vorschlagen,schlage vor,,schlägst vor,,schlägt vor,schlug vor,,vorgeschlagen,,schlüge vor,,schlag vor,,,schlagt vor,,haben,,,,,,,suggérer
750,verschieben,verschiebe,,verschiebst,,verschiebt,verschob,,verschoben,,verschöbe,,verschiebe,,,verschiebt,,haben,,,,,,,se déplacer
751,beunruhigen,beunruhige,,beunruhigst,,beunruhigt,beunruhigte,,beunruhigt,,beunruhigte,,beunruhige,beunruhig,,beunruhigt,,haben,,,,,,,inquiétude
752,gefährden,gefährde,,gefährdest,,gefährdet,gefährdete,,gefährdet,,gefährdete,,gefährd,gefährde,,gefährdet,,haben,,,,,,,mettre en danger
753,feststellen,stelle fest,,stellst fest,,stellt fest,stellte fest,,festgestellt,,stellte fest,,stell fest,stelle fest,,stellt fest,,haben,,,,,,,avis
754,hinsetzen,setze hin,,setzt hin,,setzt hin,setzte hin,,hingesetzt,,setzte hin,,setz hin,setze hin,,setzt hin,,haben,,,,,,,asseyez-vous
755,zurückgehen,gehe zurück,,gehst zurück,,geht zurück,ging zurück,,zurückgegangen,,ginge zurück,,geh zurück,gehe zurück,,geht zurück,,sein,,,,,,,retourner
756,mischen,mische,,mischst,mischt,mischt,mischte,,gemischt,,mischte,,misch,,,mischt,,haben,,,,,,,Mélanger
757,wellen,welle,,wellst,,wellt,wellte,,gewellt,,wellte,,well,welle,,wellt,,haben,,Laila Mickelwait speaking.jpg|mini|2|''gewellte'' Haare,,,,,vagues
758,wehren,wehre,,wehrst,,wehrt,wehrte,,gewehrt,,wehrte,,wehre,wehr,,wehrt,,haben,,,,,,,défendre
759,einigen,einige,,einigst,,einigt,einigte,,geeinigt,,einigte,,einig,einige,,einigt,,haben,,,,,,,quelques
760,verfahren,verfahre,,verfährst,,verfährt,verfuhr,,verfahren,,verführe,,verfahre,,,verfahrt,,haben,,,,,,,procédure
761,läuten,läute,,läutest,,läutet,läutete,,geläutet,,läutete,,läut,läute,,läutet,,haben,,,,,,,anneau
762,brüllen,brülle,,brüllst,,brüllt,brüllte,,gebrüllt,,brüllte,,brüll,brülle,,brüllt,,haben,,,,,,,rugir
763,herbringen,bringe her,,bringst her,,bringt her,brachte her,,hergebracht,,brächte her,,bring her,bringe her,,bringt her,,haben,,,,,,,amenez ici
764,beschweren,beschwere,,beschwerst,,beschwert,beschwerte,,beschwert,,beschwerte,,beschwere,,,beschwert,,haben,,,,,,,se plaindre
765,zurückziehen,ziehe zurück,,ziehst zurück,,zieht zurück,zog zurück,,zurückgezogen,,zöge zurück,,ziehe zurück,,,zieht zurück,,haben,,,,,,,retirer
766,quälen,quäle,,quälst,,quält,quälte,,gequält,,quälte,,quäle,,,quält,,haben,,,,,,,tourmenter
767,umarmen,umarme,,umarmst,,umarmt,umarmte,,umarmt,,umarmte,,umarm,umarme,,umarmt,,haben,,Wedding hugs.jpg|250px|2|zwei Frauen ''umarmen sich'',,,,,embrasser
768,lohnen,lohne,,lohnst,,lohnt,lohnte,,gelohnt,,lohnte,,lohne,,,lohnt,,haben,,,,,,,digne d'intérêt
769,schluchzen,schluchze,,schluchzt,,schluchzt,schluchzte,,geschluchzt,,schluchzte,,schluchz,,,schluchzt,,haben,,,,,,,sanglot
770,duschen,dusche,,duschst,,duscht,duschte,,geduscht,,duschte,,dusch,,,duscht,,haben,,"Guy under shower.jpg|260px|1|ein Mann, der ''duscht''",,,,,prendre une douche
771,ausschließen,schließe aus,,schließt aus,,schließt aus,schloss aus,,ausgeschlossen,,schlösse aus,,schließ aus,,,schließt aus,,haben,,,,,,,exclure
772,zittern,zittere,,zitterst,,zittert,zitterte,,gezittert,,zitterte,,zittere,,,zittert,,haben,,,,,,,trembler
773,knacken,knacke,,knackst,,knackt,knackte,,geknackt,,knackte,,knack,knacke,,knackt,,haben,,,,,,,fissure
774,locken,locke,,lockst,,lockt,lockte,,gelockt,,lockte,,locke,,,lockt,,haben,,,,,,,leurre
775,besetzen,besetze,,besetzt,,besetzt,besetzte,,besetzt,,besetzte,,besetze,besetz,,besetzt,,haben,,,,,,,occuper
776,entsprechen,entspreche,,entsprichst,,entspricht,entsprach,,entsprochen,,entspräche,,entsprich,,,entsprecht,,haben,,,,,,,sont équivalents à
777,abfahren,fahre ab,,fährst ab,,fährt ab,fuhr ab,,abgefahren,,führe ab,,fahre ab,,,fahrt ab,,sein,haben,,,,,,partir
778,bezeichnen,bezeichne,,bezeichnest,,bezeichnet,bezeichnete,,bezeichnet,,bezeichnete,,bezeichne,,,bezeichnet,,haben,,,,,,,décrire
779,pflegen,pflege,,pflegst,,pflegt,pflegte,pflog,gepflegt,gepflogen,pflegte,pflöge,pflege,pfleg,,pflegt,,haben,,Cholera rehydration nurses.jpg|thumb|1|Eine [[Krankenschwester]] ''pflegt'' einen [[Cholerapatient]]en.,,,,,maintenir
780,vergleichen,vergleiche,,vergleichst,,vergleicht,verglich,,verglichen,,vergliche,,vergleich,vergleiche,,vergleicht,,haben,,,,,,,comparer
781,zusammenarbeiten,arbeite zusammen,,arbeitest zusammen,,arbeitet zusammen,arbeitete zusammen,,zusammengearbeitet,,arbeitete zusammen,,arbeite zusammen,,,arbeitet zusammen,,haben,,,,,,,travailler ensemble
782,verhungern,verhungere,verhunger,verhungerst,,verhungert,verhungerte,,verhungert,,verhungerte,,verhungere,verhunger,,verhungert,,sein,,,,,,,à mourir de faim
783,bevorzugen,bevorzuge,,bevorzugst,,bevorzugt,bevorzugte,,bevorzugt,,bevorzugte,,bevorzuge,,,bevorzugt,,haben,,,,,,,préférer
784,vertragen,vertrage,,verträgst,,verträgt,vertrug,,vertragen,,vertrüge,,vertrag,vertrage,,vertragt,,haben,,,,,,,toléré
785,ausdenken,denke aus,,denkst aus,,denkt aus,dachte aus,,ausgedacht,,dächte aus,,denke aus,,,denkt aus,,haben,,,,,,,imaginer
786,aushalten,halte aus,,hältst aus,,hält aus,hielt aus,,ausgehalten,,hielte aus,,halt aus,,,haltet aus,,haben,,,,,,,endurer
787,erholen,erhole,,erholst,,erholt,erholte,,erholt,,erholte,,erhole,,,erholt,,haben,,,,,,,récupérer
788,einbrechen,breche ein,,brichst ein,,bricht ein,brach ein,,eingebrochen,,bräche ein,,brich ein,,,brecht ein,,sein,,,,,,,effondrement
789,korrigieren,korrigiere,,korrigierst,,korrigiert,korrigierte,,korrigiert,,korrigierte,,korrigiere,korrigier,,korrigiert,,haben,,,,,,,correct
790,verbessern,verbessere,,verbesserst,,verbessert,verbesserte,,verbessert,,verbesserte,,verbesser,verbessere,,verbessert,,haben,,,,,,,améliorer
791,platzen,platze,,platzt,,platzt,platzte,,geplatzt,,platzte,,platze,platz,,platzt,,sein,,,,,,,éclatement
792,ausrechnen,rechne aus,,rechnest aus,,rechnet aus,rechnete aus,,ausgerechnet,,rechnete aus,,rechne aus,,,rechnet aus,,haben,,,,,,,calculer
793,enthalten,enthalte,,enthältst,,enthält,enthielt,,enthalten,,enthielte,,enthalte,,,enthaltet,,haben,,,,,,,contenir
794,zweifeln,zweifle,zweifele,zweifelst,,zweifelt,zweifelte,,gezweifelt,,zweifelte,,zweifle,,,zweifelt,,haben,,,,,,,doute
795,übersehen,übersehe,,übersiehst,,übersieht,übersah,,übersehen,,übersähe,,übersieh,,,überseht,,haben,,,,,,,négliger
796,abbrechen,breche ab,,brichst ab,,bricht ab,brach ab,,abgebrochen,,bräche ab,,brich ab,,,brecht ab,,haben,,,Schokolade-braun.jpg|270px|1|Jemand hat einige Stücke der Schokoladentafel ''abgebrochen.'',OpenOffice_abbrechen.jpg|270px|3|Soll der Prozess des Schließens von OpenOffice ''abgebrochen'' werden?,,,Annuler
797,hinlegen,lege hin,,legst hin,,legt hin,legte hin,,hingelegt,,legte hin,,lege hin,,,legt hin,,haben,,,,,,,allongez-vous
798,erteilen,erteile,,erteilst,,erteilt,erteilte,,erteilt,,erteilte,,erteil,erteile,,erteilt,,haben,,,,,,,Donner
799,verdanken,verdanke,,verdankst,,verdankt,verdankte,,verdankt,,verdankte,,verdank,verdanke,,verdankt,,haben,,,,,,,devoir
800,parken,parke,,parkst,,parkt,parkte,,geparkt,,parkte,,parke,,,parkt,,haben,,,,,,,parc
801,bedauern,bedauere,bedaure,bedauerst,,bedauert,bedauerte,,bedauert,,bedauerte,,bedauere,bedaure,,bedauert,,haben,,,,,,,regret
802,wandern,wandere,,wanderst,,wandert,wanderte,,gewandert,,wanderte,,wandere,wander,,wandert,,sein,,Cami de cavalls_hiking.jpg|thumb|1|[[drei|Drei]] [[Person]]en ''wandern'' auf der [[Insel]] [[Menorca]].,,,,,randonnée
803,begeben,begebe,,begibst,,begibt,begab,,begeben,,begäbe,,begib,,,begebt,,haben,,,,,,,embarqué
804,befolgen,befolge,,befolgst,,befolgt,befolgte,,befolgt,,befolgte,,befolg,befolge,,befolgt,,haben,,,,,,,suivre
805,baden,bade,,badest,,badet,badete,,gebadet,,badete,,bade,,,badet,,haben,,"Bundesarchiv Bild 102-09247, Berlinerin im Schaumbad.jpg|mini|3|eine ''badende'' Frau",,,,,baigner
806,klettern,klettere,,kletterst,,klettert,kletterte,,geklettert,,kletterte,,kletter,,,klettert,,sein,,BW 2012-08-26 Rustam Gelmanov RUS 0808.ogv|mini|2|jemand ''klettert'' an einer [[künstlich]]en [[Wand]],,,,,grimper
807,eintreffen,treffe ein,,triffst ein,,trifft ein,traf ein,,eingetroffen,,träfe ein,,triff ein,,,trefft ein,,sein,,,,,,,arriver
808,überreden,überrede,,überredest,,überredet,überredete,,überredet,,überredete,,überrede,,,überredet,,haben,,,,,,,convaincre
809,zustoßen,stoße zu,,stößt zu,,stößt zu,stieß zu,,zugestoßen,,stieße zu,,stoß zu,stoße zu,,stoßt zu,,haben,sein,,,,,,arriver
810,umkehren,kehre um,,kehrst um,,kehrt um,kehrte um,,umgekehrt,,kehrte um,,kehr um,kehre um,,kehrt um,,sein,haben,,,,,,Retourner
811,servieren,serviere,,servierst,,serviert,servierte,,serviert,,servierte,,servier,serviere,,serviert,,haben,,,,,,,servir
812,abschalten,schalte ab,,schaltest ab,,schaltet ab,schaltete ab,,abgeschaltet,,schaltete ab,,schalt ab,schalte ab,,schaltet ab,,haben,,,,,,,éteindre
813,biegen,biege,,biegst,,biegt,bog,,gebogen,,böge,,biege,,,biegt,,haben,,,,,,,plier
814,ermitteln,ermittle,,ermittelst,,ermittelt,ermittelte,,ermittelt,,ermittelte,,ermittle,,,ermittelt,,haben,,,,,,,déterminer
815,engagieren,engagiere,,engagierst,,engagiert,engagierte,,engagiert,,engagierte,,engagiere,engagier,,engagiert,,haben,,,,,,,s'engager
816,manipulieren,manipuliere,,manipulierst,,manipuliert,manipulierte,,manipuliert,,manipulierte,,manipuliere,manipulier,,manipuliert,,haben,,,,,,,manipuler
817,zugreifen,greife zu,,greifst zu,,greift zu,griff zu,,zugegriffen,,griffe zu,,greife zu,greif zu,,greift zu,,haben,,,,,,,accéder
818,rasen,rase,,rast,,rast,raste,,gerast,,raste,,ras,rase,,rast,,sein,haben,,,,,,course
819,wegwerfen,werfe weg,,wirfst weg,,wirft weg,warf weg,,weggeworfen,,würfe weg,,wirf weg,,,werft weg,,haben,,,,,,,jeter
820,bemühen,bemühe,,bemühst,,bemüht,bemühte,,bemüht,,bemühte,,bemüh,,,bemüht,,haben,,,,,,,faire un effort
821,versehen,versehe,,versiehst,,versieht,versah,,versehen,,versähe,,versieh,,,verseht,,haben,,,,,,,Erreur
822,aufspüren,spüre auf,,spürst auf,,spürt auf,spürte auf,,aufgespürt,,spürte auf,,spür auf,spüre auf,,spürt auf,,haben,,,,,,,traquer
823,ausrichten,richte aus,,richtest aus,,richtet aus,richtete aus,,ausgerichtet,,richtete aus,,richte aus,,,richtet aus,,haben,,,,,,,aligner
824,überstehen,überstehe,,überstehst,,übersteht,überstand,,überstanden,,überstände,überstünde,übersteh,überstehe,,übersteht,,haben,,,,,,,survivre
825,pflanzen,pflanze,,pflanzt,,pflanzt,pflanzte,,gepflanzt,,pflanzte,,pflanze,pflanz,,pflanzt,pflanzet,haben,,,DSC 0912 (4996034567).jpg|mini|1|''Pflanzen'' einer [[Kastanie]],HUERTO ESCOLAR 011 (2).jpg|mini|1|[[Kind]]er ''pflanzen'' [[Salat]],India - Sights &amp; Culture - Planting Rice Paddy 5 (3245008474).jpg|mini|1|''Pflanzen'' von [[Reis]],Ap14 flag.ogv|mini|2|[[Astronaut]]en von [[w:Apollo 14|Apollo 14]] ''pflanzen'' auf dem [[Mond]] die US-[[Flagge]],usine
826,auflegen,lege auf,,legst auf,,legt auf,legte auf,,aufgelegt,,legte auf,,leg auf,lege auf,,legt auf,,haben,,,,,,,raccrocher
827,durchziehen,ziehe durch,,ziehst durch,,zieht durch,zog durch,,durchgezogen,,zöge durch,,zieh durch,,,zieht durch,,haben,sein,,,,,,tirer
828,infizieren,infiziere,,infizierst,,infiziert,infizierte,,infiziert,,infizierte,,infiziere,infizier,,infiziert,,haben,,,,,,,infecter
829,abreisen,reise ab,,reist ab,,reist ab,reiste ab,,abgereist,,reiste ab,,reise ab,,,reist ab,,sein,,,,,,,partir
830,entschließen,entschließe,,entschließt,,entschließt,entschloss,,entschlossen,,entschlösse,,entschließ,entschließe,,entschließt,,haben,,,,,,,décider
831,vertreiben,vertreibe,,vertreibst,,vertreibt,vertrieb,,vertrieben,,vertriebe,,vertreibe,,,vertreibt,,haben,,,,,,,chasser
832,vorfahren,fahre vor,,fährst vor,,fährt vor,fuhr vor,,vorgefahren,,führe vor,,fahr vor,fahre vor,,fahrt vor,,haben,sein,,,,,,ancêtres
833,orten,orte,,ortest,,ortet,ortete,,geortet,,ortete,,orte,,,ortet,,haben,,,,,,,lieux
834,anrichten,richte an,,richtest an,,richtet an,richtete an,,angerichtet,,richtete an,,richte an,,,richtet an,,haben,,,,,,,organiser
835,buchen,buche,,buchst,,bucht,buchte,,gebucht,,buchte,,buch,buche,,bucht,,haben,,,,,,,livre
